plot_id,basal_area,aerial_biomass_total,trunk_bark_biomass,leaf_biomass,trunk_wood_biomass,branch_wo_leaves_biomass,basal_area_dec_dominant,density_dec_dominant,aerial_carbon_total,trunk_bark_carbon,accumulated_aerial_co2,dbh,density,basal_area_species_dominant,density_species_dominant,basal_area_genus_dominant,density_genus_dominant,over_bark_volume,coords_longitude,coords_latitude,admin_region,admin_municipality,topo_altitude_asl,clim_prec_year,clim_tmin_year
P_02673,19.77,84.18,11.19,3.74,47.34,21.9,Conífera,Conífera,43.17,6.01,158.29,30.43,271.91,Pinus pinea,Pinus pinea,Pinus,Pinus,105.49,2.24,41.68,Vallès Oriental,Bigues i Riells,405.96,717.2,7.9
P_02674,21.65,97.05,12.32,4.01,55,25.73,Conífera,Conífera,49.55,6.57,181.69,30.38,298.65,Pinus pinea,Pinus pinea,Pinus,Pinus,118.72,2.27,41.68,Vallès Oriental,la Garriga,314.53,701.8,8.2
P_02241,0.68,1.15,0.19,0.09,0.48,0.4,Conífera,Conífera,0.59,0.1,2.15,8.25,127.32,Pinus halepensis,Pinus halepensis,Pinus,Pinus,1.2,2.05,41.71,Vallès Occidental,Sant Llorenç Savall,615.06,723.9,6.9
P_02249,18.5,92.77,10.06,3.32,50.7,28.69,Esclerofil·le,Esclerofil·le,45.29,4.96,166.08,18.84,663.64,Quercus ilex,Quercus ilex,Quercus,Quercus,84.3,2.14,41.71,Vallès Oriental,Sant Feliu de Codines,775.24,797.7,6.5
P_02274,25.33,106.72,13.41,3.99,56.09,33.22,Conífera,Conífera,53.36,6.95,195.65,14.17,1606.4,Pinus halepensis,Pinus halepensis,Pinus,Pinus,113.9,2.15,41.7,Vallès Oriental,Sant Feliu de Codines,583.94,741.6,7.1
P_02297,2.7,6.26,1.06,0.35,2.94,1.91,Conífera,Conífera,3.18,0.56,11.65,10.4,318.31,Pinus halepensis,Pinus halepensis,Pinus,Pinus,7.18,2.05,41.69,Vallès Occidental,Sant Llorenç Savall,537.67,701.7,7.3
P_02303,25.21,99.77,14.43,3,53.24,29.09,Conífera,Conífera,50.48,7.63,185.09,18.76,912.49,Pinus halepensis,Pinus halepensis,Pinus,Pinus,118.92,2.15,41.69,Vallès Oriental,Sant Feliu de Codines,506.23,719.4,7.4
P_02321,16.77,59.45,7.6,2.16,28.62,21.07,Conífera,Conífera,30.1,4.02,110.37,18.5,624.03,Pinus halepensis,Pinus halepensis,Pinus,Pinus,63.75,2.09,41.68,Vallès Occidental,Sant Llorenç Savall,556.86,719.8,7.2
P_02322,17.91,66.84,7.13,3.93,30.39,25.39,Esclerofil·le,Esclerofil·le,32.6,3.49,119.55,13.09,1329.83,Quercus ilex,Quercus ilex,Quercus,Quercus,51.51,2.1,41.68,Vallès Occidental,Sant Llorenç Savall,654.02,745.8,7
P_02349,10.2,30.2,3.83,1.21,13.22,11.93,Conífera,Conífera,15.3,2.03,56.11,18.94,362.31,Pinus halepensis,Pinus halepensis,Pinus,Pinus,30.1,2.05,41.67,Vallès Occidental,Sant Llorenç Savall,506.05,698.1,7.4
P_02350,10.9,36.62,4.48,2.15,17.78,12.21,Conífera,Esclerofil·le,18.7,2.39,68.57,23.53,250.69,Pinus pinea,Quercus ilex,Pinus,Quercus,39.33,2.06,41.67,Vallès Occidental,Sant Llorenç Savall,475.14,692.7,7.5
P_02354,23.52,117.86,14.5,3.3,66.77,33.29,Conífera,Esclerofil·le,59.03,7.55,216.45,18.99,830.72,Pinus halepensis,Arbutus unedo,Pinus,Arbutus,135.36,2.1,41.67,Vallès Occidental,Sant Llorenç Savall,529.96,721.8,7.3
P_02358,26.68,121.57,14.82,3.92,66.44,36.38,Conífera,Esclerofil·le,60.57,7.6,222.09,16.86,1195.01,Pinus halepensis,Arbutus unedo,Pinus,Quercus,130.66,2.13,41.67,Vallès Occidental,Gallifa,431.46,699.1,7.6
P_02413,7.44,20.04,1.02,0.6,11.58,6.84,Caducifoli,Caducifoli,9.7,0.47,35.55,19.93,238.52,Fagus sylvatica,Fagus sylvatica,Fagus,Fagus,18.71,2.39,41.8,Vallès Oriental,Montseny,1610.26,1154.5,3.7
P_02416,4.39,16.98,2.25,0.56,10.6,3.56,Caducifoli,Caducifoli,8.21,1.12,30.1,14.91,251.11,Corylus avellana,Populus tremula,Corylus,Populus,22.06,2.42,41.8,Vallès Oriental,Montseny,1045.71,981.3,5.6
P_02424,29,127.63,15.94,5.43,74.09,32.17,Conífera,Esclerofil·le,63.53,8.16,232.96,15.67,1504.26,Quercus ilex,Quercus ilex,Pinus,Quercus,143.87,2.28,41.79,Vallès Oriental,Aiguafreda,800.13,868.7,6
